Kecamatan,Kabupaten,Nama objek,Nomor Lokasi Keterdapatan,Komoditi,Kode Unsur,Kelompok Mineral Logam,Lokasi Keterdapatan,Provinsi,Status Penyelidikan Mineral Logam,Bijih Terbukti (Ton),Logam Terbukti (Ton),keterangan,acuan,objectid,longitude,latitude,Jenis Izin,Lokasi Tambang,Luas Wilayah,Tanggal Berakhir SK,Tanggal Berlaku SK,Mine_port(meter),Mine_road(meter),Mine_Smelter(meter),Produksi Tahunan (ton),Target Produksi Harian (ton),Produksi Aktual Harian (ton),Pencapaian (%),Jumlah Ekskavator,Jumlah Truk Tambang,Ketersediaan Fisik (PA) %,Penggunaan Ketersediaan (UA) %,Jam Downtime,Konsumsi BBM (Liter),Biaya Penambangan per Ton (Rp),Biaya Pengangkutan per Ton (Rp),Biaya Penanganan Pelabuhan per Ton (Rp),Biaya Pemrosesan Smelter per Ton (Rp),AISC per Ton (Rp),CAPEX / OPEX,TRIFR,LTIFR,Jumlah Insiden,Indikator Fatalitas,Harga Nikel Historis (Rp/Ton),Nilai Tukar (Rp/USD),Pembeli / Offtaker,Jenis Kontrak,License_Duration_Years,License_Status
Bunta,Banggai,Nikel Sumber Mulya,2543000000,Nikel,Ni,Logam Besi dan Paduan Besi,Sumber Mulya,Sulawesi Tengah,Operasi Produksi,0,0,"Laterit wmt, kadar Ni 1,4%","PT Gemilang Mandiri Perkasa, Laporan RKAB Tahun 2020",1565,122.2337,-0.9596,IUP,Kec. Bunta dan Nuhon Keb. Banggai,4677.0,2035-02-22,2015-09-02,50716229.0,43135.0,148685848.0,747843,3625,3729,102.87,26,37,90.15,74.38,35.1,12825,346952,87913,45874,639798,1120537,CAPEX,0.74,0.4,1,Tidak,282676428,15587,PT GNI,Spot Contract,19.487671232876714,Active
Bunta,Banggai,Nikel Donda,2544000000,Nikel,Ni,Logam Besi dan Paduan Besi,Donda,Sulawesi Tengah,Operasi Produksi,0,0,"Laterit wmt, kadar Ni 1,4%","PT Gemilang Mandiri Perkasa, Laporan RKAB Tahun 2020",1566,122.2857,-0.9263,IUP,Kec. Bunta dan Nuhon Keb. Banggai,4677.0,2035-02-22,2015-09-02,44016313.0,968527.0,155336793.0,1637131,1975,1915,96.96,25,37,93.81,86.32,22.0,8940,377141,102854,72136,796323,1348454,OPEX,1.41,0.43,0,Tidak,251246565,16044,PT Vale Indonesia,Spot Contract,19.487671232876714,Active
Lembo,Morowali Utara,Nikel Molino 1,1370000000,Nikel,Ni,Logam Besi dan Paduan Besi,Molino 1,Sulawesi Tengah,Operasi Produksi,0,0,"Blok 3A, Block 3B, Block 11A, Block 11B, Block 11C, Block 2, Block 4, Block 9, Block 10, Block 11 D","PT Genba Multi Mineral, Laporan RKAB Tahun 2020 (Tabulasi Ditjen Minerba)",1390,121.385,-2.162,IUP,"Desa Molino dan Bimor Jaya Kec. Petasia, Kab. Morowali",3744.0,2029-12-08,2016-01-19,19170417.0,537985.0,25307264.0,1550784,2638,2527,95.79,10,47,94.44,87.21,32.8,24167,259588,116815,31764,540479,948646,CAPEX,0.35,0.08,0,Tidak,347259975,15848,PT Aneka Tambang,FOB Motorship,13.895890410958904,Active
Bahodopi,Morowali,Nikel Tangofa,1378000000,Nikel,Ni,Logam Besi dan Paduan Besi,Tangofa,Sulawesi Tengah,Operasi Produksi,49500000,641508,"Bete-Bete/PIT 1-6, West Bete-Bete, Central, Central 2/Pit 21, APL/PIT A-C","PT Hengjaya Mineralindo, Laporan RKAB Tahun 2022",1398,122.1686,-2.9391,IUP,"Desa Padabaho, Bete-Bete, Pu'ungkeu, Tangofa, Kec. Bahodopi & Bungku Selatan",5983.0,2031-05-26,2020-07-10,14536295.0,3300312.0,11876026.0,1031788,3671,3656,99.59,18,42,92.37,73.35,6.8,9800,243184,133283,52319,771410,1200196,CAPEX,2.34,0.29,1,Tidak,293403561,15930,PT IMIP,FOB Motorship,10.882191780821918,Active
Petasia,Morowali Utara,Nikel Ungkaya,1372000000,Nikel,Ni,Logam Besi dan Paduan Besi,Ungkaya,Sulawesi Tengah,Eksplorasi,0,0,"Blok Kolonedale West, Central dan East","PT Hoffmen International, Laporan RKAB Tahun 2020",1392,121.318,-1.879,IUP,"Desa Ganda-Ganda, Kec. Petasi",585.0,2031-03-24,2020-12-03,24412793.0,590464.0,19801427.0,601880,2694,2532,93.99,19,54,94.86,70.15,25.8,11186,309530,72485,70048,417965,870028,OPEX,0.48,0.14,0,Tidak,329744661,15662,PT IWIP,CIF,10.30958904109589,Active
Petasia,Morowali Utara,Nikel Torete,1375000000,Nikel,Ni,Logam Besi dan Paduan Besi,Torete,Sulawesi Tengah,Operasi Produksi,0,0,-,"PT Indoberkah Jaya Mandiri, Laporan RKAB Tahun 2021",1395,121.317,-1.946,IUP,"Desa Torete, Kec. Bungku pesisir, Morowali",196.0,2034-10-10,2014-11-21,4050242.0,509154.0,662173.0,1956047,1845,1699,92.09,19,35,97.78,76.72,28.5,24254,306258,80320,77648,601687,1065913,OPEX,0.66,0.37,2,Tidak,320768090,16015,PT IWIP,FOB Motorship,19.898630136986302,Active
Bahodopi,Morowali,Nikel Padabaho,2571000000,Nikel,Ni,Logam Besi dan Paduan Besi,Padabaho,Sulawesi Tengah,Operasi Produksi,0,0,"Blok A, Blok B","PT Indoberkah Jaya Mandiri, Laporan Studi Kelayakan Tahun 2020",1593,122.182,-2.91,IUP,"Desa Torete, Kec. Bungku pesisir, Morowali",196.0,2034-10-10,2014-11-21,11474393.0,1650431.0,8791144.0,1168531,4130,4013,97.17,28,45,90.45,85.95,14.6,15794,281906,143867,42570,719539,1187882,CAPEX,1.96,0.12,1,Tidak,264177511,15609,PT Vale Indonesia,FOB Motorship,19.898630136986302,Active
Petasia,Morowali Utara,Nikel Lambolo 1,2572000000,Nikel,Ni,Logam Besi dan Paduan Besi,Lambolo 1,Sulawesi Tengah,Operasi Produksi,8089740,9479223950,"Blok C1, C2, D, E","PT Itamatra Nusantara, Laporan RKAB Tahun 2021",1594,121.292,-1.937,IUP,"Desa lambolo, Kec. Petasia, Kab.Morowali",974.0,2032-03-15,2012-03-16,6981391.0,125449.0,3343002.0,1839681,4156,4000,96.25,13,50,91.69,86.78,11.3,9556,355853,93980,62539,612729,1125101,OPEX,0.42,0.34,1,Tidak,330134893,15996,PT Vale Indonesia,FOB Motorship,20.01095890410959,Active
Petasia Timur,Morowali Utara,Nikel Bungintibe,2807000000,Nikel,Ni,Logam Besi dan Paduan Besi,Bungintibe,Sulawesi Tengah,Operasi Produksi,100526050,116072403300,"5 blok, kadar Ni 1,01% s.d. 1,74%","PT Keinz Ventura, Laporan RKAB Tahun 2020",1625,121.414,-2.0949,IUP,"Desa Tompira, Bungintimbe, Towara dan Molino, Kec. Petasia, Kab. Morowali",1205.0,2032-10-22,2022-07-14,11213325.0,1181302.0,19767894.0,1516878,1887,1764,93.48,16,68,85.16,72.77,13.5,4112,359809,74157,39484,773324,1246774,CAPEX,2.27,0.13,1,Tidak,305030378,15516,PT IMIP,Spot Contract,10.282191780821918,Active
Petasia,Morowali,Nikel Blok A,2944000000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok A,Sulawesi Tengah,Operasi Produksi,2800000,31948,Blok A,"PT Maghantara Multimedia Nusaphala, Laporan RKAB Tahun 2022",1664,122.099,-2.944,IUP,Labota dan Padabao,2318.0,2031-11-29,2011-11-29,16748465.0,7584562.0,14613845.0,1667575,2553,2438,95.5,13,57,95.35,85.49,20.5,13029,249139,148562,35794,525832,959327,OPEX,1.87,0.26,1,Tidak,310430730,15511,PT GNI,Spot Contract,20.013698630136986,Active
Bungku Selatan,Morowali,Nikel Buleleng 1,2808000000,Nikel,Ni,Logam Besi dan Paduan Besi,Buleleng 1,Sulawesi Tengah,Operasi Produksi,91665190,962484495,"Blok Utara dan Blok Selatan, kadar Ni 1,6% dan 2,6%","PT Mahligai Artha Sejahtera, Laporan RKAB Tahun 2022",1626,122.2345,-3.038,IUP,Kecamatan Bungku Pesisir,514.0,2031-06-22,2011-09-24,26622013.0,220772.0,4190099.0,1639849,2399,2291,95.5,14,65,91.76,72.31,9.4,24706,359105,94897,47651,413333,914986,OPEX,0.36,0.47,1,Tidak,270031596,15543,PT Aneka Tambang,CIF,19.756164383561643,Active
Witaponfa,Morowali,Nikel Ungkaya 1,2809000000,Nikel,Ni,Logam Besi dan Paduan Besi,Ungkaya 1,Sulawesi Tengah,Operasi Produksi,10862680,129265892,"Kadar Ni 1,53% s.d. 1,71%","PT Mitra Agung Karya Lestari, Laporan RKAB Tahun 2020",1627,121.5475,-2.2587,IUP,"Desa Ungkaya, Kec. Witaponda, Morowali",743.0,2031-10-31,2016-10-31,31148824.0,2083831.0,3926506.0,791958,4103,3894,94.91,28,47,90.3,77.8,47.6,13082,246149,148504,74254,709575,1178482,OPEX,1.79,0.19,2,Tidak,334687420,15935,PT Vale Indonesia,FOB Motorship,15.008219178082191,Active
Petasia,Morowali Utara,Nikel Lambolo,1373000000,Nikel,Ni,Logam Besi dan Paduan Besi,Lambolo,Sulawesi Tengah,Operasi Produksi,34741740,4196266004,"Pit 2A1-2A5, 2B, 2C1, 2C2, 3A11, 3A12, 3A21, 3A22, 3A3","PT Mulia Pasific Resources, Laporan RKAB Tahun 2022",1393,121.316,-1.983,IUP,"Desa Lambolo, Ganda-ganda dan Kolonodale, Marle dan Korolama Kec. Petasia, Kab. Morowali",4780.0,2031-04-20,2011-04-28,2934728.0,181704.0,45543.0,1045859,4394,4205,95.7,28,50,86.22,89.97,23.2,18690,281526,141931,64473,427201,915131,OPEX,1.65,0.44,1,Tidak,343166697,15641,PT Vale Indonesia,Spot Contract,19.991780821917807,Active
Ampana Kota,Tojo Una-Una,Nikel Rapalemba,2856000000,Nikel,Ni,Logam Besi dan Paduan Besi,Rapalemba,Sulawesi Tengah,Operasi Produksi,92357720,1228357676,"Blok B kadar Ni 1,9%","PT Multi Dinar Karya, Laporan RKAB Tahun 2021",1653,122.184,-0.9889,IUP,"Rapalemba, Uebae, Pusungi dan Marowo Kec. Ampana Kota, Ampana Tete dan Kec. Ulubongka Kab. Tojo Una-Una",10800.0,2031-05-24,2011-05-24,57051195.0,211845.0,142554151.0,1200081,4380,4393,100.3,10,49,96.57,73.85,41.4,9313,205436,140610,54463,705902,1106411,OPEX,1.94,0.49,1,Tidak,290650220,15748,PT GNI,Spot Contract,20.013698630136986,Active
Bungku Pesisir,Morowali,Nikel Matarape,1376000000,Nikel,Ni,Logam Besi dan Paduan Besi,Matarape,Sulawesi Tengah,Operasi Produksi,0,0,"Blok 4 dan Blok 5 (LGL, HGL, LGS, HGS)","PT Nusajaya Persadatama Mandiri, Laporan RKAB Tahun 2020",1396,122.275,-3.131,IUP,Menui Kepulauan,1825.0,2035-06-23,2024-06-23,37794129.0,1554464.0,9091578.0,1246687,5248,4957,94.46,22,66,90.14,73.08,48.8,20287,268078,108183,44140,693366,1113767,OPEX,2.1,0.44,1,Tidak,259247734,15759,PT IMIP,Spot Contract,11.005479452054795,Active
Bahodopi,Morowali,Nikel Sumbatu,2575000000,Nikel,Ni,Logam Besi dan Paduan Besi,Sumbatu,Sulawesi Tengah,Operasi Produksi,219742280,310321939340,12 blok,"PT Oti Eya Abadi, Laporan RKAB Tahun 2020",1597,121.994,-2.82,IUP,"Desa Lele, Dampala dan Siumbatu Kecamatan Bahodopi Kabupaten Morowali Provinsi Sulawesi Tengah",333923.0,2038-05-15,2018-05-15,1902815.0,555738.0,9793034.0,565705,4551,4744,104.24,14,68,93.87,78.46,8.6,20291,391703,129844,37081,737708,1296336,OPEX,1.85,0.08,0,Tidak,334877208,15934,PT Aneka Tambang,Spot Contract,20.013698630136986,Active
Bungku Selatan,Morowali,Nikel Laro Enai,1920000000,Nikel,Ni,Logam Besi dan Paduan Besi,Laro Enai,Sulawesi Tengah,Operasi Produksi,5664000,985536,"Blok BCL A, BCL B, Kartini B, Tiara","PT PAM Mineral, Prospektus Penawaran Saham Perdana Tahun 2020",1452,122.245,-3.042,IUP,"Desa Buleleng dan laro'enai, Kec. bungku Pesisir, kab. Morowali, Provinsi Sulawesi Tengah",198.0,2035-04-15,2024-11-17,27403185.0,64574.0,2946288.0,1319854,2714,2816,103.76,13,68,86.94,82.39,34.3,16774,288512,146055,43538,591570,1069675,CAPEX,1.55,0.41,2,Tidak,338739258,15691,PT Vale Indonesia,Spot Contract,10.413698630136986,Active
Pagimana,Banggai,Nikel Siuna,1367000000,Nikel,Ni,Logam Besi dan Paduan Besi,Siuna,Sulawesi Tengah,Operasi Produksi,0,0,"Blok 1,2,3,4","PT Penta Dharma Karsa, Laporan RKAB Tahun 2019 (Tabulasi Dinas ESDM Provinsi)",1387,122.99,-0.735,IUP,"Desa Siuna, Kec Pagimana, Kab. Banggai",1220.0,2026-08-19,2016-08-19,32172685.0,640858.0,228675522.0,731434,1841,1790,97.23,15,61,97.5,88.66,44.2,20208,342003,76913,37634,758201,1214751,OPEX,0.94,0.02,1,Tidak,300647331,15503,PT Aneka Tambang,Spot Contract,10.005479452054795,Active
Pagimana,Banggai,Nikel Siuna 2,2810000000,Nikel,Ni,Logam Besi dan Paduan Besi,Siuna 2,Sulawesi Tengah,Operasi Produksi,44400000,54390,"4 blok, logam ikutan bijih nikel laterit, kadar Fe %","PT Prima Dharma Karsa, Laporan RKAB Tahun 2020",1628,122.9913,-0.7334,IUP,"Desa Siuna, Kec. Pagimana, Kab. Banggai",938.0,2026-08-19,2016-08-19,32399822.0,815646.0,228896312.0,1615063,3920,3721,94.92,13,52,87.32,89.62,33.5,16155,221585,53774,39354,467932,782645,OPEX,1.8,0.2,2,Tidak,307914874,15712,PT IMIP,FOB Motorship,10.005479452054795,Active
Bungku Selatan,Morowali,Nikel Torette 2,2811000000,Nikel,Ni,Logam Besi dan Paduan Besi,Torette 2,Sulawesi Tengah,Operasi Produksi,90048000,11099284,"Kadar Ni 1,1% s.d. 1,7%","PT Raihan Caturputra, Laporan RKAB Tahun 2020",1629,122.2037,-2.9681,IUP,"Desa Torete, Kecamatan Buku Pesisir, Kabupaten Morowali, Sulawesi Tengah",688.0,2035-12-13,2013-12-13,18258875.0,1229864.0,1162489.0,1524573,5155,5054,98.04,19,53,87.59,71.39,24.3,11944,327112,82085,64376,573739,1047312,OPEX,2.4,0.44,2,Tidak,272303612,15658,PT GNI,CIF,22.013698630136986,Active
Lembo,Morowali Utara,Nikel Korowou,2573000000,Nikel,Ni,Logam Besi dan Paduan Besi,Korowou,Sulawesi Tengah,Operasi Produksi,22714130,27506811430,"Blok 1, Blok 2","PT Sarana Mineralindo Perkasa, Laporan RKAB Tahun 2019 (Tabulasi Dinas ESDM Provinsi)",1595,121.365,-2.14,IUP,"Desa Korowou, Molindo dan Bimor Jaya Kec. Petasia",4656.0,2032-11-12,2017-08-09,17946518.0,1730942.0,22398447.0,1883791,5398,5545,102.72,29,69,96.17,72.76,24.4,19495,274315,113689,36634,448733,873371,OPEX,1.55,0.34,2,Tidak,256747320,15901,PT IMIP,FOB Motorship,15.271232876712329,Active
Toili Barat,Banggai,Nikel Sumber Agung 1,2580000000,Nikel,Ni,Logam Besi dan Paduan Besi,Sumber Agung 1,Sulawesi Tengah,Operasi Produksi,0,0,"Laterit wmt, kadar Ni 1,2%","PT Sinar Makmur Cemerlang, Laporan Revisi RKAB Tahun 2020",1602,122.223,-1.353,IUP,"Kec. Batui, Banggai",3099.0,2035-05-14,2015-09-02,41809218.0,3323626.0,119603847.0,1617143,2343,2338,99.79,21,44,96.86,85.81,6.6,21537,348798,104728,32368,706750,1192644,OPEX,1.73,0.27,2,Tidak,344414564,15913,PT GNI,Spot Contract,19.70958904109589,Active
Petasia Timur,Morowali Utara,Nikel Bimor Jaya,1947000000,Nikel,Ni,Logam Besi dan Paduan Besi,Bimor Jaya,Sulawesi Tengah,Eksplorasi,1938730609,278207842391,"Kadar Fe 21,01%","PT Sinosteel Indonesia Mining, Laporan RKAB Tahun 2020 (Tabulasi Ditjen Minerba)",1479,121.467,-2.124,IUP,Kec. Kembo raya dan Petasia,20387.0,2041-12-30,2021-12-30,24412793.0,590464.0,19801427.0,1049963,2369,2418,102.07,24,47,87.76,75.41,29.1,21662,385603,58058,57117,685708,1186486,CAPEX,1.21,0.19,2,Tidak,298295758,15550,PT IWIP,CIF,20.013698630136986,Active
Petasia Timur,Morowali Utara,Nikel Molino 2,2579000000,Nikel,Ni,Logam Besi dan Paduan Besi,Molino 2,Sulawesi Tengah,Operasi Produksi,768320,1229312,"Blok 1, Blok 2, Blok 3","PT Sumber Permata Selaras, Laporan RKAB Tahun 2019 (Tabulasi Dinas ESDM Provinsi)",1601,121.473,-2.139,IUP,Desa ganda-ganda Kec. Petasia,424.0,2030-09-22,2020-09-22,22098642.0,399361.0,27518094.0,1951264,1553,1522,98.0,19,66,91.11,87.7,49.7,8474,306322,106077,44329,722559,1179287,CAPEX,1.94,0.41,1,Tidak,277497087,15936,PT GNI,Spot Contract,10.005479452054795,Active
Petasia dan Soyojaya,Morowali Utara,Nikel Towi,2812000000,Nikel,Ni,Logam Besi dan Paduan Besi,Towi,Sulawesi Tengah,Operasi Produksi,385224660,456105961234,"Blok GGU dan Blok GGS, saprolit dan limonit","PT Sumber Swarma Pratama, Laporan RKAB Tahun 2022",1630,121.2566,-1.9004,IUP,Desa Ganda-Ganda dan Towi Kec. Petasia dan Soyo Jaya,2641.0,2031-07-11,2019-09-19,12432307.0,1658403.0,8582615.0,1116275,1979,1969,99.49,10,48,94.54,83.27,48.1,18208,220565,67439,52736,705737,1046477,CAPEX,2.49,0.35,2,Tidak,319323256,15538,PT Vale Indonesia,FOB Motorship,11.816438356164383,Active
Bungku Selatan,Morowali,Nikel Torette 1,2577000000,Nikel,Ni,Logam Besi dan Paduan Besi,Torette 1,Sulawesi Tengah,Operasi Produksi,33000000,39270,"Kadar Ni 1,1% - 1,7%","PT Teknik Alum Service, Laporan RKAB Tahun 2020",1599,122.214,-2.994,IUP,"Desa Buleleng dan Torete, Kec. Bungku Selatan, Kab. Morowali",1301.0,2029-05-06,2012-06-19,21336344.0,897175.0,8743135.0,988738,3674,3465,94.31,11,43,96.42,72.24,6.8,4090,295226,100550,36989,523383,956148,OPEX,0.57,0.23,0,Tidak,252620148,15840,PT GNI,Spot Contract,16.89041095890411,Active
Bungku Selatan,Morowali,Nikel Buleleng,2578000000,Nikel,Ni,Logam Besi dan Paduan Besi,Buleleng,Sulawesi Tengah,Operasi Produksi,0,0,"Kadar Ni 1,4% dan 1,7%","PT Teknik Alum Service, Laporan RKAB Tahun 2020",1600,122.232,-3.023,IUP,"Desa Buleleng dan Torete, Kec. Bungku Selatan, Kab. Morowali",1301.0,2029-05-06,2012-06-19,23904341.0,305047.0,5158916.0,1858303,3641,3678,101.02,15,54,89.93,86.65,36.8,16011,224621,107570,40498,427226,799915,OPEX,0.67,0.45,2,Tidak,257994002,15714,PT Vale Indonesia,CIF,16.89041095890411,Active
Bungku Selatan,Morowali,Nikel One Ete,1379000000,Nikel,Ni,Logam Besi dan Paduan Besi,One Ete,Sulawesi Tengah,Operasi Produksi,155578150,22325464525,Blok Utara (A) dan Blok Selatan (B),"PT Total Prima Indonesia, Laporan RKAB Tahun 2019 (Tabulasi Dinas ESDM Provinsi)",1399,122.303,-2.941,IUP,"Desa Tangofa Kec. Bungku Selatan, Kab. Morowali",1142.0,2031-05-20,2011-05-23,20528092.0,753785.0,12463109.0,1055689,2920,2717,93.05,14,46,91.72,73.53,18.6,15994,289906,113667,52053,771696,1227322,CAPEX,1.44,0.11,0,Tidak,274267404,15665,PT IMIP,Spot Contract,20.005479452054793,Active
Bungku Timur,Morowali,Nikel Bahodopi Block 1,271000000,Nikel,Ni,Logam Besi dan Paduan Besi,Bahodopi Block 1,Sulawesi Tengah,Eksplorasi,24000000,218400,Bijih kering,"PT Vale, Laporan RKAB Tahun 2020 (Tabulasi Ditjen Minerba)",1291,121.881,-2.691,IUPK,Blok Bahodopi. Kab. Morowali dan Kab. Luwu Timur,22699.0,2035-12-28,2024-05-03,24412793.0,590464.0,19801427.0,614514,2670,2681,100.41,26,66,94.64,78.47,45.6,11633,212229,91255,64501,597127,965112,CAPEX,1.31,0.09,2,Tidak,295064906,15765,PT IWIP,FOB Motorship,11.66027397260274,Active
Bungku Timur,Morowali,"Nikel Bahodopi Block 2,3 & 4",272000000,Nikel,Ni,Logam Besi dan Paduan Besi,"Bahodopi Block 2,3 & 4",Sulawesi Tengah,Eksplorasi,0,0,-,"PT Vale, Laporan RKAB Tahun 2020 (Tabulasi Ditjen Minerba)",1292,121.91,-2.694,IUPK,Blok Bahodopi. Kab. Morowali dan Kab. Luwu Timur,22699.0,2035-12-28,2024-05-03,24412793.0,590464.0,19801427.0,1204333,4802,4942,102.92,26,66,94.5,81.04,7.0,24875,328087,90832,50717,437736,907372,OPEX,1.51,0.32,0,Tidak,286668756,15670,PT Vale Indonesia,FOB Motorship,11.66027397260274,Active
Bungku Pesisir,Morowali,Nikel Sambalagi 1,2854000000,Nikel,Ni,Logam Besi dan Paduan Besi,Sambalagi 1,Sulawesi Tengah,Operasi Produksi,66800000,84168,"Blok A dan Blok B, kadar Ni 1,4% - 2%","PT Wosindo Perkasa, Laporan RKAB Tahun 2021",1651,122.273,-3.1301,IUP,Kecamatan Sambalagi Kabupaten Morowali,477.0,2031-09-24,2021-09-24,37586183.0,1626119.0,8982856.0,1693519,3286,3023,92.0,27,45,95.18,80.02,47.1,22542,262090,117857,57085,770825,1207857,OPEX,0.31,0.49,1,Tidak,268734700,15936,PT Vale Indonesia,FOB Motorship,10.005479452054795,Active
Molawe,Konawe Utara,Nikel Tapunggaya,2145000000,Nikel,Ni,Logam Besi dan Paduan Besi,Tapunggaya,Sulawesi Tenggara,Operasi Produksi,24538600,26496753675,"4 blok laterit, kadar Ni 1,1% s.d. 1,7%","CV Unaaha Bakti Persada, Laporan RKAB Tahun 2022",1494,122.235,-3.392,IUP,Langgikima,159.0,2031-12-15,2011-12-15,65035127.0,200986.0,38145008.0,784207,4713,4676,99.21,22,53,92.41,83.72,42.7,4811,240306,124917,56093,797707,1219023,OPEX,1.13,0.12,0,Tidak,285134968,16031,PT Aneka Tambang,FOB Motorship,20.013698630136986,Active
Langgikima,Konawe Utara,Nikel Lameluru,1188000000,Nikel,Ni,Logam Besi dan Paduan Besi,Lameluru,Sulawesi Tenggara,Operasi Produksi,0,0,"Kadar Ni 1,5 - 2,0%","Laporan PT Bhumi Swadatya Mineral, 2012",1377,122.3,-3.281,IUP,Desa Lameruru Kec. Langgikima Kab. Konawe Utara,317.0,2029-12-22,2009-12-22,54397377.0,887.0,25872279.0,1194410,5349,4890,91.42,21,69,86.36,83.05,10.3,8385,203460,130774,43443,578199,955876,CAPEX,1.54,0.12,0,Tidak,283391151,15948,PT Aneka Tambang,Spot Contract,20.013698630136986,Active
Pomalaa,Kolaka,Nikel Pesohua,1389000000,Nikel,Ni,Logam Besi dan Paduan Besi,Pesohua,Sulawesi Tenggara,Operasi Produksi,10110590,120316021,"Kadar Ni 1,4% - 1,9%","PD Aneka Usaha Kolaka, Laporan RKAB Tahun 2020",1407,121.6393,-4.2036,IUP,Pomalaa,340.0,2028-04-01,2018-04-02,55532.0,835385.0,4747146.0,694882,2700,2724,100.89,22,60,96.75,89.84,7.7,8367,377611,83354,43981,708036,1212982,CAPEX,1.55,0.07,2,Tidak,302466750,15741,PT IMIP,CIF,10.005479452054795,Active
Langgikima,Konawe Utara,Nikel Blok B Lameluru,2789000000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok B Lameluru,Sulawesi Tenggara,Operasi Produksi,20985670,26225801840,"3 blok, kadar Ni 1,74% s.d. 1,86%","PT Adhi Kartiko Pratama, Laporan RKAB Tahun 2020",1607,122.2801,-3.2635,IUP,"Kec. Langgikima, Kab. Konut",1975.0,2030-12-13,2010-12-14,52041612.0,919588.0,23753444.0,1529717,2231,2036,91.26,18,42,96.25,89.99,42.6,22848,367439,92407,51286,414519,925651,CAPEX,1.71,0.43,2,Tidak,306274155,15776,PT GNI,Spot Contract,20.01095890410959,Active
Langgikima,Konawe Utara,Nikel Blok A Lameruru,1935000000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok A Lameruru,Sulawesi Tenggara,Operasi Produksi,0,0,Blok A1 - A3,"PT Adhi Kartiko Pratama, Laporan RKAB Tahun 2022",1467,122.261,-3.263,IUP,"Kec. Langgikima, Kab. Konut",1975.0,2030-12-13,2010-12-14,51471428.0,1403219.0,23698708.0,1213557,5306,5520,104.03,23,55,95.38,80.33,12.0,14897,362350,83067,31602,437308,914327,CAPEX,1.86,0.11,0,Tidak,338312688,15745,PT Vale Indonesia,Spot Contract,20.01095890410959,Active
Pomalaa,Kolaka,Nikel Hakatutobu,1925000000,Nikel,Ni,Logam Besi dan Paduan Besi,Hakatutobu,Sulawesi Tenggara,Eksplorasi,67057470,657163206,"Kadar Ni 1% s.d. 1,8%","PT Akar Mas Internasional, Laporan RKAB Tahun 2019 (Tabulasi Dinas ESDM Provinsi)",1457,121.592,-4.251,IUP,Pomalaa,225.0,2029-09-07,2009-09-07,24412793.0,590464.0,19801427.0,995294,4002,3684,92.05,25,56,86.3,71.9,29.1,19306,211627,102754,64269,510626,889276,OPEX,1.68,0.25,0,Tidak,330677854,15936,PT IMIP,CIF,20.013698630136986,Active
Tolala,Kolaka Utara,Nikel Tolala 1,2565000000,Nikel,Ni,Logam Besi dan Paduan Besi,Tolala 1,Sulawesi Tenggara,Operasi Produksi,0,0,"Kadar Ni 0,9% s.d. 1,5%","PT Alam Mitra Indah Nugraha, Laporan RKAB Tahun 2022",1587,121.107,-2.891,IUP,Kec.Tolala,221.0,2027-01-12,2012-01-12,17370486.0,2270843.0,46550205.0,840364,2592,2706,104.4,25,57,87.66,84.56,46.2,21008,269912,62722,60719,662491,1055844,CAPEX,2.02,0.5,2,Tidak,279233822,15803,PT GNI,CIF,15.01095890410959,Active
Kabaena Selatan,Bombana,Nikel Teomokole,2534000000,Nikel,Ni,Logam Besi dan Paduan Besi,Teomokole,Sulawesi Tenggara,Operasi Produksi,6000000,6930,"Laterit, 2 blok","PT Almharig, Laporan RKAB Tahun 2020",1556,121.8581,-5.2946,IUP,Kecamatan Kabaena dan Kabaena Selatan,2018.0,2032-09-07,2021-12-15,7878149.0,177704.0,4656203.0,1346749,3949,4029,102.03,22,35,94.67,89.53,30.5,20120,394269,93009,45306,453369,985953,OPEX,1.64,0.01,2,Tidak,340266768,15757,PT IWIP,FOB Motorship,10.736986301369862,Active
Wundulako,Kolaka Timur,Nikel Maniang,302000000,Nikel,Ni,Logam Besi dan Paduan Besi,Maniang,Sulawesi Tenggara,Eksplorasi Rinci,0,0,-,"PT Antam Tbk, Annual Report 2006",1315,121.479,-4.203,IUP,Pulau Maniang,195.0,2033-02-28,2023-02-28,24412793.0,590464.0,19801427.0,1504720,3511,3473,98.92,11,45,85.3,76.37,22.9,5869,315721,68871,48685,413671,846948,OPEX,1.44,0.28,0,Tidak,302077060,15725,PT Aneka Tambang,Spot Contract,10.008219178082191,Active
Asera,Konawe Utara,Nikel Lalindu dan Lasolo,1922000000,Nikel,Ni,Logam Besi dan Paduan Besi,Lalindu dan Lasolo,Sulawesi Tenggara,Eksplorasi,0,0,Limonit-Saprolit (wmt),"PT Antam, Annual Report Tahun 2021",1454,122.154,-3.468,IUP,"Kec. Asera dan Molawe, Kab. Konawe",16920.0,2030-04-29,2010-04-29,24412793.0,590464.0,19801427.0,1910459,5112,5201,101.74,24,64,97.73,79.22,25.0,6947,225699,103240,46435,667508,1042882,CAPEX,1.59,0.26,1,Tidak,268767767,15706,PT IMIP,Spot Contract,20.013698630136986,Active
